OCCUR_DATE,BORO,STATISTICAL_MURDER_FLAG,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
11/11/2021,MANHATTAN,TRUE,25-44,F,BLACK HISPANIC,40.71366629,-73.98007171
11/11/2021,QUEENS,FALSE,25-44,M,WHITE HISPANIC,40.75842604,-73.80000688
11/10/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.63499356,-73.93188426
11/10/2021,BRONX,FALSE,25-44,M,BLACK,40.87849392,-73.86401305
11/10/2021,BRONX,FALSE,25-44,M,BLACK,40.90277102,-73.85094775
11/10/2021,BRONX,FALSE,25-44,M,BLACK,40.82455077,-73.91023502
11/10/2021,BRONX,FALSE,18-24,M,WHITE HISPANIC,40.8441566,-73.90060545
11/9/2021,QUEENS,FALSE,18-24,M,ASIAN / PACIFIC ISLANDER,40.75800087,-73.93275472
11/9/2021,QUEENS,FALSE,18-24,M,BLACK,40.7017739,-73.80792733
11/9/2021,BRONX,FALSE,45-64,M,BLACK,40.88851004,-73.83129773
11/9/2021,BRONX,FALSE,25-44,M,BLACK,40.88851004,-73.83129773
11/9/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.67623191,-74.006945
11/9/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.65945194,-73.93120691
11/8/2021,QUEENS,FALSE,18-24,M,BLACK,40.70179939,-73.80840332
11/8/2021,BRONX,FALSE,<18,M,BLACK,40.85958614,-73.88736194
11/8/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.69612774,-73.93617093
11/8/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.66344526,-73.89756581
11/8/2021,BROOKLYN,FALSE,45-64,M,BLACK,40.5797802,-73.99842465
11/8/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.66883905,-73.90764007
11/8/2021,BRONX,FALSE,45-64,M,BLACK,40.86119291,-73.85847017
11/8/2021,BRONX,FALSE,25-44,M,BLACK,40.82679898,-73.89141016
11/7/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.65994916,-73.94763835
11/6/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.67796496,-73.86777844
11/6/2021,BRONX,TRUE,25-44,M,BLACK,40.82156708,-73.89688885
11/6/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.68092785,-73.90864726
11/6/2021,MANHATTAN,FALSE,45-64,M,BLACK,40.79351098,-73.94033555
11/6/2021,QUEENS,FALSE,45-64,F,WHITE HISPANIC,40.67459529,-73.85929876
11/5/2021,BRONX,FALSE,18-24,M,BLACK,40.8460212,-73.90836995
11/5/2021,BRONX,TRUE,25-44,M,BLACK,40.83890449,-73.8815965
11/5/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.6586798,-73.91739273
11/5/2021,BROOKLYN,TRUE,25-44,M,BLACK,40.67565718,-73.89200235
11/5/2021,STATEN ISLAND,FALSE,18-24,M,BLACK,40.55757483,-74.20699897
11/5/2021,BROOKLYN,FALSE,25-44,M,BLACK HISPANIC,40.64199518,-74.01723611
11/5/2021,BRONX,FALSE,25-44,M,WHITE HISPANIC,40.81196429,-73.90441055
11/4/2021,BRONX,FALSE,25-44,F,BLACK HISPANIC,40.87448833,-73.91070999
11/3/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.8024223,-73.93382235
11/3/2021,MANHATTAN,FALSE,25-44,F,BLACK,40.8024223,-73.93382235
11/3/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.65111715,-73.9433135
11/3/2021,MANHATTAN,FALSE,25-44,M,WHITE HISPANIC,40.8024223,-73.93382235
11/2/2021,QUEENS,TRUE,45-64,M,BLACK,40.73578328,-73.8106258
11/2/2021,BRONX,FALSE,25-44,M,BLACK HISPANIC,40.86472467,-73.89068301
11/2/2021,BRONX,FALSE,25-44,M,WHITE HISPANIC,40.86472467,-73.89068301
11/1/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.79824984,-73.96360559
